Binomial,species,Area,FID_2,TID,Group,Value,tempmean,tempstdev,precmean,precstdev,nppmean,nppstdev
Ablepharus_budaki,Ablepharus_budaki,121180.9012,2,R06993,lizard,1,14.47304616,4.301134698,689.5294875,164.9287318,1.82998E+11,71271843319
Ablepharus_darvazi,Ablepharus_darvazi,32444.74018,4,R06995,lizard,1,4.94932764,5.560172657,558.3260807,162.3504458,96210557133,43586680988
Ablepharus_grayanus,Ablepharus_grayanus,130759.9117,6,R06997,lizard,1,25.43513839,2.936765414,429.2136983,184.735502,-7.13E+36,4.87E+37
Ablepharus_kitaibelii,Ablepharus_kitaibelii,684246.0766,7,R06998,lizard,1,11.58016535,2.653000064,639.8821093,162.4829513,2.71648E+11,93337690841
Ablepharus_rueppellii,Ablepharus_rueppellii,62791.45062,10,R07001,lizard,1,18.35503224,2.291782322,331.9485654,272.9233615,1.11703E+11,89250946206
Abronia_anzuetoi,Abronia_anzuetoi,38.322097,11,R00667,lizard,1,18.16086964,4.016947528,1968.152174,757.8776134,7.04484E+11,1.73224E+11
Abronia_aurita,Abronia_aurita,152.897896,12,R00668,lizard,1,17.99225226,2.171995175,2215.410811,560.0485248,7.08065E+11,1.32471E+11
Abronia_bogerti,Abronia_bogerti,464.162892,13,R00669,lizard,1,21.52221497,1.487250574,1121.387719,262.26198,8.55973E+11,65524852362
Abronia_campbelli,Abronia_campbelli,9.996281,14,R00670,lizard,1,18.92291698,0.802840585,1501.1,22.67796287,6.1173E+11,0
Abronia_chiszari,Abronia_chiszari,405.951211,15,R00671,lizard,1,22.65249835,1.511239028,2133.219124,214.5817664,8.03421E+11,0
Abronia_deppii,Abronia_deppii,4804.350011,16,R00672,lizard,1,14.63243154,2.723132096,1135.830128,102.1061968,4.80691E+11,63254809455
Abronia_fimbriata,Abronia_fimbriata,3200.020724,17,R00673,lizard,1,18.44883455,3.055305486,2242.306007,566.5216305,7.89978E+11,1.34616E+11
Abronia_frosti,Abronia_frosti,36.302252,18,R00674,lizard,1,17.10975387,2.616225827,2151.954545,357.2737653,6.06138E+11,1.9327E+11
Abronia_fuscolabialis,Abronia_fuscolabialis,881.151606,19,R00675,lizard,1,15.68935099,2.526954365,1590.475836,404.9200508,7.87431E+11,92728417850
Abronia_gaiophantasma,Abronia_gaiophantasma,2799.210844,20,R00676,lizard,1,17.90296112,2.95404087,2130.683559,381.1650642,7.89978E+11,1.34616E+11
Abronia_graminea,Abronia_graminea,2036.823122,21,R00677,lizard,1,11.82392682,3.192836615,1126.279061,289.1358235,6.27145E+11,1.13159E+11
Abronia_leurolepis,Abronia_leurolepis,121.299851,22,R00678,lizard,1,16.29926806,1.492351431,1307.256757,197.3171792,7.66296E+11,77752440397
Abronia_lythrochila,Abronia_lythrochila,1894.083745,23,R00679,lizard,1,15.65200957,1.595401378,1248.200345,319.0518357,8.29108E+11,78217840886
Abronia_martindelcampoi,Abronia_martindelcampoi,1896.425854,24,R00680,lizard,1,18.90201804,2.096193565,1283.329755,156.7610833,6.58733E+11,37030070155
