,annual_temp,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time
Ablepharus_bivittatus,20.62900007,Oviparous,Ablepharus_bivittatus,Ablepharus,Scincidae,56.5,18.5,-5.125,3.229,177.3135,54.6115,5,2,4,4,53.2,34.16,Diurnal
Ablepharus_rueppellii,19.04566654,Oviparous,Ablepharus_rueppellii,Ablepharus,Scincidae,35.3,18.5,-5.125,3.229,108.8587,54.6115,6,1,2.1,1.5,35.28,31.39,Diurnal
Abronia_graminea,18.95233345,Viviparous,Abronia_graminea,Abronia,Anguidae,104.8,34,-5.765,3.48,358.939,112.555,12,1,6.1,3.9,-97.21,18.76,Diurnal
Acanthocercus_atricollis,21.51166662,Oviparous,Acanthocercus_atricollis,Acanthocercus,Agamidae,113.9,34,-4.686,3.105,348.9735,100.884,17,1,11.4,11.4,30.28,-9.53,Diurnal
Acanthodactylus_beershebensis,19.11900004,Oviparous,Acanthodactylus_beershebensis,Acanthodactylus,Lacertidae,64.9,25,-4.543,2.951,186.9769,69.232,8,3,5,4.8,34.83,31.17,Diurnal
Acanthodactylus_boskianus,23.36633348,Oviparous,Acanthodactylus_boskianus,Acanthodactylus,Lacertidae,60.1,26.5,-4.543,2.951,172.8121,73.6585,8,1,6,2.6,19.84,23.35,Diurnal
Acanthodactylus_dumerilii,26.14799984,Oviparous,Acanthodactylus_dumerilii,Acanthodactylus,Lacertidae,49.3,26,-4.543,2.951,140.9413,72.183,2,1,1.5,1.5,-5.27,26.76,Diurnal
Acanthodactylus_erythrurus,12.86066655,Oviparous,Acanthodactylus_erythrurus,Acanthodactylus,Lacertidae,68.6,29,-4.543,2.951,197.8956,81.036,8,1,4.4,3,-3.2,37.24,Diurnal
Acanthodactylus_longipes,24.69433308,Oviparous,Acanthodactylus_longipes,Acanthodactylus,Lacertidae,46.7,23,-4.543,2.951,133.2687,63.33,3,2,2.7,2.7,9.67,23.63,Diurnal
Acanthodactylus_pardalis,18.47766646,Oviparous,Acanthodactylus_pardalis,Acanthodactylus,Lacertidae,61,30,-4.543,2.951,175.468,83.987,7,2,4.8,2.5,25.1,31.05,Diurnal
Acanthodactylus_schreiberi,18.50200033,Oviparous,Acanthodactylus_schreiberi,Acanthodactylus,Lacertidae,69.4,35.8,-4.543,2.951,200.2564,101.1028,8,1,3,2.6,33.23,35.05,Diurnal
