,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,minimum.mean.Tb,maximum.mean.Tb
Ablepharus_rueppellii,Oviparous,Ablepharus_rueppellii,Ablepharus,Scincidae,35.3,18.5,-5.125,3.229,108.859,54.612,6,1,2.1,1.5,35.28,31.39,Diurnal,29.5,29.5
Acanthocercus_atricollis,Oviparous,Acanthocercus_atricollis,Acanthocercus,Agamidae,113.9,34,-4.686,3.105,348.974,100.884,17,1,11.4,11.4,30.28,-9.53,Diurnal,39.4,40.3
Acanthodactylus_beershebensis,Oviparous,Acanthodactylus_beershebensis,Acanthodactylus,Lacertidae,64.9,25,-4.543,2.951,186.977,69.232,8,3,5,4.8,34.83,31.17,Diurnal,29.4,37.8
Acanthodactylus_boskianus,Oviparous,Acanthodactylus_boskianus,Acanthodactylus,Lacertidae,60.1,26.5,-4.543,2.951,172.812,73.659,8,1,6,2.6,19.84,23.35,Diurnal,33.1,39.2
Acanthodactylus_erythrurus,Oviparous,Acanthodactylus_erythrurus,Acanthodactylus,Lacertidae,68.6,29,-4.543,2.951,197.896,81.036,8,1,4.4,3,-3.2,37.24,Diurnal,31.8,37.8
Acanthodactylus_longipes,Oviparous,Acanthodactylus_longipes,Acanthodactylus,Lacertidae,46.7,23,-4.543,2.951,133.269,63.330,3,2,2.7,2.7,9.67,23.63,Diurnal,34.3,34.3
Acanthodactylus_pardalis,Oviparous,Acanthodactylus_pardalis,Acanthodactylus,Lacertidae,61,30,-4.543,2.951,175.468,83.987,7,2,4.8,2.5,25.1,31.05,Diurnal,32.8,37.8
Acanthodactylus_schreiberi,Oviparous,Acanthodactylus_schreiberi,Acanthodactylus,Lacertidae,69.4,35.8,-4.543,2.951,200.256,101.103,8,1,3,2.6,33.23,35.05,Diurnal,31.4,40.6
Acanthodactylus_scutellatus,Oviparous,Acanthodactylus_scutellatus,Acanthodactylus,Lacertidae,52.6,24.3,-4.543,2.951,150.680,67.166,6,1,3.3,2.5,12.9,23.81,Diurnal,32.7,39.3
Acontias_meleagris,Viviparous,Acontias_meleagris,Acontias,Scincidae,162.4,79,-5.125,3.229,519.265,249.966,4,2,3,3,21.77,-33.26,Cathemeral,21.8,21.8
Agama_aculeata,Oviparous,Agama_aculeata,Agama,Agamidae,85.4,27,-4.686,3.105,260.481,79.149,18,8,14,11.5,22.57,-18.89,Diurnal,36.2,36.2
Agama_agama,Oviparous,Agama_agama,Agama,Agamidae,89.8,31,-4.686,3.105,274.143,91.569,24,3,12.1,5.5,15.61,6.77,Diurnal,34.9,36.8
Agama_hispida,Oviparous,Agama_hispida,Agama,Agamidae,98.7,29,-4.686,3.105,301.778,85.359,20,4,14,13.4,20.8,-29.84,Diurnal,35.8,36.9
Algyroides_moreoticus,Oviparous,Algyroides_moreoticus,Algyroides,Lacertidae,44.4,20.4,-4.543,2.951,126.481,55.657,8,1,3.3,3.3,22.18,37.53,Diurnal,24.8,32.4
Algyroides_nigropunctatus,Oviparous,Algyroides_nigropunctatus,Algyroides,Lacertidae,58.4,22,-4.543,2.951,167.795,60.379,8,2,4,3,18.75,41.86,Diurnal,32.3,32.3
Alopoglossus_angulatus,Oviparous,Alopoglossus_angulatus,Alopoglossus,Gymnophthalmidae,56.3,21.3,-5.178,3.302,180.725,65.155,2,1,2,2,-62.98,-4.02,Diurnal,25.1,27.3
Alopoglossus_atriventris,Oviparous,Alopoglossus_atriventris,Alopoglossus,Gymnophthalmidae,48,22,-5.178,3.302,153.318,67.466,2,2,2,2,-70.19,-5.25,Diurnal,26.1,26.2
Amalosia_rhombifer,Oviparous,Amalosia_rhombifer,Amalosia,Diplodactylidae,48,22.5,-4.804,3.057,141.932,63.979,2,2,2,2,136.89,-17.4,Nocturnal,26.1,26.1
Amblyrhynchus_cristatus,Oviparous,Amblyrhynchus_cristatus,Amblyrhynchus,Iguanidae,320,110.5,-4.298,2.972,946.742,324.108,6,1,2.5,2,-90.9,-0.55,Diurnal,25.5,37.9
Ameiva_ameiva,Oviparous,Ameiva_ameiva,Ameiva,Teiidae,118.9,39.1,-4.747,3.11,365.032,116.854,11,1,8,2.5,-58.3,-8.34,Diurnal,36.1,39.4
Ameiva_parecis,Oviparous,Ameiva_parecis,Ameiva,Teiidae,79.3,36,-4.747,3.11,241.876,107.213,2,1,1.6,1.6,-60.27,-12.48,Diurnal,38.2,38.2
Ameivula_ocellifera,Oviparous,Ameivula_ocellifera,Ameivula,Teiidae,62.5,27.5,-4.747,3.11,189.628,80.778,5,1,3.4,1.6,-51.28,-14.54,Diurnal,34.8,39.7
Amphibolurus_muricatus,Oviparous,Amphibolurus_muricatus,Amphibolurus,Agamidae,90.7,31.2,-4.686,3.105,276.938,92.190,12,3,6,5.1,149.04,-31.67,Diurnal,34.8,36
Amphisbaena_alba,Oviparous,Amphisbaena_alba,Amphisbaena,Amphisbaenidae,534.3,160,-8.647,4.007,2132.293,632.473,16,6,12,6.5,-57.41,-12.29,Cathemeral,25,25
Anadia_brevifrontalis,Oviparous,Anadia_brevifrontalis,Anadia,Gymnophthalmidae,68.1,30.5,-5.178,3.302,219.688,95.533,2,2,2,2,-70.74,8.59,Diurnal,21.5,21.5
Anepischetosia_maccoyi,Oviparous,Anepischetosia_maccoyi,Anepischetosia,Scincidae,51,23.4,-5.125,3.229,159.554,70.434,9,1,3.6,2.3,146.46,-37.33,Cathemeral,14.5,21.1
Anguis_fragilis,Viviparous,Anguis_fragilis,Anguis,Anguidae,176.5,47,-5.224,2.892,505.214,130.700,28,2,12.3,6.7,8.1,50.08,Diurnal,22.1,26.4
Anniella_pulchra,Viviparous,Anniella_pulchra,Anniella,Anniellidae,143.8,56,-4.207,2.3,326.533,124.593,4,1,2,1.3,-118.72,34.71,Cathemeral,20,23.6
Anolis_acutus,Oviparous,Anolis_acutus,Anolis,Dactyloidae,43.1,20.5,-4.574,2.942,122.226,55.737,1,1,1,1,-64.77,17.74,Diurnal,25.6,34.8
Anolis_aeneus,Oviparous,Anolis_aeneus,Anolis,Dactyloidae,46.5,22.5,-4.574,2.942,132.229,61.621,1,1,1,1,-58.9,6.51,Diurnal,29.1,34
